ID,Gaussian,Gamma,ROT2,ROT1,RTLLR,DPMM,GMM
100600,0.018877553,0.014062533,0.007211499,0.006214448,0.003830873,0.007383554,0.00202157
100206,0.012108686,0.005303872,0.007562893,0.007011726,0.002048486,0.003091883,0.001399325
100729,0.048844052,0.035143344,0.020112974,0.015019876,0.003129085,0.002537733,0.001120836
100485,0.006687012,0.003657042,0.002134087,0.001881374,0.001951283,0.002463301,0.001608075
101639,0.038670144,0.038996086,0.009825203,0.006702168,0.002863422,0.011248475,0.001334114
100954,0.018603093,0.017051677,0.006695208,0.005009766,0.002501928,0.002569647,0.001333394
100686,0.054391758,0.059970693,0.024097427,0.01904114,0.004435461,0.002801672,0.001978469
101497,0.0377171,0.034584163,0.016774958,0.013972027,0.002138727,0.00343639,0.001546394
100964,0.057035173,0.035983479,0.026776008,0.022302739,0.002173398,0.001832787,0.001289902
100929,0.040362058,0.028615564,0.018332503,0.013864178,0.001604287,0.002318339,0.000795285
101602,0.006153911,0.00428786,0.002578463,0.00232763,0.002388847,0.003075643,0.001932535
101303,0.003452228,0.003131598,0.00176633,0.001676908,0.001615436,0.002547826,0.001558708
101347,0.035046727,0.040616311,0.017352136,0.01398933,0.003272764,0.002099718,0.001475282
100621,0.038697262,0.037241944,0.023899246,0.020683938,0.002275405,0.003506361,0.001180523
101242,0.019798795,0.015196891,0.012716558,0.011381559,0.009475874,0.008286687,0.002068686
101049,0.015432227,0.008283268,0.00608938,0.00585366,0.001995469,0.006105929,0.001554155
100809,0.006201657,0.003868053,0.002073416,0.001903793,0.001957849,0.002142612,0.001497169
101529,0.006003382,0.003314677,0.001891459,0.001732619,0.001592775,0.001907393,0.001369047
100828,0.006339603,0.005348764,0.004507692,0.004051874,0.001496085,0.004093473,0.000879847
100700,0.018858007,0.017952145,0.012542114,0.010228132,0.002143366,0.004119688,0.001126093
101202,0.009323016,0.008156149,0.004836245,0.003679329,0.001319593,0.003592945,0.001361142
100445,0.059561645,0.05149283,0.033649216,0.02979296,0.004478815,0.002733519,0.001299915
101028,0.029198986,0.028983559,0.017693165,0.01491034,0.00399382,0.004088232,0.001680049
100190,0.028568412,0.032083631,0.0094047,0.007402041,0.003089697,0.002708741,0.001773591
100514,0.017438093,0.015196262,0.006023799,0.004800821,0.002360044,0.002193052,0.00130299
100885,0.007447928,0.005796826,0.002887165,0.002343299,0.00094036,0.003678809,0.001116598
100081,0.040922226,0.031242196,0.018113209,0.013737518,0.002234816,0.005405629,0.001135735
100300,0.034611192,0.028900043,0.015698599,0.014417148,0.002605251,0.007629581,0.001214991
100962,0.027255568,0.018977404,0.013671378,0.011211817,0.002890764,0.00361469,0.001485457
101717,0.00299624,0.002134402,0.00147898,0.001220746,0.000458102,0.0018203,0.001042816
100261,0.025493436,0.017819621,0.017749068,0.015326107,0.016290928,0.007138243,0.001557461
100836,0.005589263,0.004833833,0.003951542,0.003775478,0.002297123,0.006120326,0.0019989
101025,0.018278513,0.018110015,0.011608408,0.009668448,0.001297138,0.004156911,0.001631176
