ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,
100600,6.22E-15,0,0.001513455,0.000230947,7.75E-07,
100206,0,0,0,0,0,
100729,0,0,0,0,0,
100485,6.04E-08,0,0.000661017,0.025879692,0.012887912,
101639,0,0,0.011263519,1.42E-05,6.30E-07,
100954,0,0,0.64834384,0.010704359,8.70E-05,
100686,0,0,0.161825498,0,0,
101497,0,0,0.508656245,0,0,
100964,0,0,0.060146509,0,0,
100929,0,0,0.00974225,0,0,
101602,3.42E-06,1.88E-07,0.089877003,0.051716444,0.038896731,
101303,0.000652561,0.001899246,0.007246104,0.001367526,0.001048769,
101347,0,0,0.360216392,0,0,
100621,0,0,0.199907625,0,0,
101242,0,0,0,0,0,
101049,0,0,0.004062655,0,0,
100809,7.27E-06,4.39E-13,0.151277541,0.759336498,0.326024964,
101529,0.023133253,1.12E-12,0.260902836,0.009296961,0.005471586,
100828,0,0,0,0,0,
100700,0,0,7.34E-05,0,0,
101202,0,0,0.000204414,0,0,
100445,0,0,2.32E-05,0,0,
101028,0,0,3.34E-10,0,0,
100190,0,0,0.350189066,4.67E-06,5.44E-09,
100514,0,0,0.549356691,1.12E-08,6.34E-14,
100885,0,0,0.010501077,0,0,
100081,0,0,0.06793172,0,0,
100300,0,0,0.464322072,0,0,
100962,0,0,0,0,0,
101717,0,0,0.008701485,0,0,
100261,0,0,0,0,0,
100836,0,0,0,0,0,
101025,0,0,7.30E-06,0,0,
100942,0,0,0,0,0,
101442,0,0,0,0,0,
100561,5.94E-11,4.82E-14,0.018035637,0.04040886,0.009597902,
101262,0,0,0,0,0,
101172,0,0,0.457573084,0,0,
101727,0,0,0,0,0,
101530,2.91E-14,0,0.344427076,1.64E-06,3.14E-09,
101666,0,0,0.014297212,8.61E-11,2.22E-16,
100194,0,0,3.69E-05,0,0,
100248,0,0,0.096093383,0.032115314,0.000571545,
100563,0,0,0.056791623,1.18E-05,4.51E-09,
101422,0,0,0,0,0,
100796,0,0,0,0,0,
101196,0,0,2.98E-05,0,0,
100521,0,0,0,0,0,
100517,0,0,0.252117537,5.95E-06,1.39E-09,
101106,0,0,1.92E-12,3.40E-13,0,
100905,0,0,9.71E-11,0,0,
101558,2.53E-07,0,0.335949524,9.51E-05,2.75E-06,
100084,0,0,0.554787264,6.66E-05,2.07E-07,
101761,0,0,0.420857558,0,0,
100123,0,0,0,0,0,
100258,0,0,0.134732212,0,0,
100798,1.13E-08,0,0.034146926,3.07E-08,2.66E-12,
100134,1.90E-07,1.58E-07,0.140576312,0.019723532,0.015572731,
100979,0,0,0,0,0,
100354,0,0,0.0947547,0,0,
100464,0,0,0.021464355,0,0,
100270,0,0,0,0,0,
101483,0,0,0,0,0,
101395,0,0,0,0,0,
100993,0,0,0,0,0,
101204,0,0,0.652689219,0,0,
100738,0,0,0,0,0,
100560,0,3.33E-16,0.104152053,0.006174283,0.00028701,
100017,0,0,4.02E-10,0,0,
100505,1.55E-15,0,0.337609565,0.006185633,0.000185274,
101479,0,0,0.212604806,4.79E-06,1.04E-08,
100363,0,0,0.05493414,0.048486769,0.003799719,
100545,0,0,0.072216711,0,0,
100834,0,0,0.002347892,0,0,
100701,0,0,0.844674337,0,0,
101370,0,0,0.353803629,0,0,
100355,0,0,0.258977847,2.74E-12,5.55E-16,
101480,0,0,0,0,0,
100013,0,0,0.000803409,0,0,
100482,0,0,0.368760939,0,0,
100161,0,0,0.266512076,0,0,
101300,0,0,0,0,0,
101468,0,0,0.088489788,0,0,
101171,0,0,1.83E-12,0,0,
101474,0,0,0.207303803,0,0,
100326,0,0,0,0,0,
100695,0,0,0.034647397,0,0,
100337,0,0,0,0,0,
100618,0,0,0.001703301,0,0,
100180,0,0,0.038841491,0,0,
101536,0,0,0,0,0,
100629,0,0,0,0,0,
101236,0,0,8.88E-16,0,0,
100316,2.08E-13,0,0.306045774,0.008492628,0.000157239,
101252,8.88E-16,0,0.18750409,0,0,
100232,0,0,0,0,0,
100633,0,0,0.158006415,0,0,
101617,0,0,1.83E-13,0,0,
100049,0,0,0.049221894,1.45E-14,0,
101166,0,0,0.021897738,0,0,
100119,0,0,0,0,0,
101261,0,0,2.61E-10,0,0,
100478,0,0,0.252471428,0,0,
100466,0,0,0.388201982,0,0,
100461,9.53E-10,0,0.440019161,2.71E-06,7.68E-10,
100471,0,0,0.00075008,0,0,
101219,0,0,0.502799542,0.000165883,2.67E-07,
100516,0,0,0,0,0,
100689,0,0,0,0,0,
100129,0,0,0.155273276,9.07E-06,5.64E-09,
101520,0,0,0,0,0,
101432,0,0,0.246397577,0.000746414,3.23E-06,
101603,0,0,0,0,0,
101325,0,0,0.279309676,0,0,
101037,0,0,0,0,0,
101245,0,0,2.20E-06,0,0,
100819,0,1.52E-10,0.013096684,0.001701599,0.000958636,
100910,0,0,1.16E-06,0,0,
100660,1.26E-05,0,0.357544041,0.035225429,0.008400103,
100382,0,0,0.745363789,0.002261981,3.88E-05,
101270,0,0,0,0,0,
100994,0,0,0.001820283,0,0,
100279,0,0,0.170634542,1.88E-09,4.44E-16,
100145,0,0,0,0,0,
100304,0,0,0.47890721,2.24E-07,3.95E-11,
100946,0,0,0,0,0,
101737,0,0,0,0,0,
101521,0,0,0.114339213,0,0,
101243,3.34E-10,0,0.036891349,1.08E-08,3.79E-12,
100724,0,0,1.07E-12,0,0,
101715,0,0,0,0,0,
100372,0,0,0,0,0,
100595,1.22E-10,0,0.090250356,0,0,
100590,0,0,0.539576123,0,0,
101205,0,0,0.197541105,1.30E-11,0,
101113,0,0,0.01857198,0,0,
101033,0,0,0.031139701,0,0,
100630,0,0,1.65E-09,0,0,
101504,0,0,0.136623549,0,0,
100871,0,0,0.321111875,0,0,
100413,1.49E-14,0,0.258111899,5.11E-15,0,
101619,0,0,0.185873125,0,0,
100113,0,0,0.001056643,0,0,
101230,0,0,0,0,0,
100360,0,0,0.093401068,0.010671965,0.010953137,
101096,1.68E-13,0,0.13589585,2.22E-16,0,
100324,0,1.89E-09,0.416692637,0.014152526,0.001887097,
101178,8.80E-09,0,0.035548918,6.83E-05,8.35E-06,
101100,0,0,0.179140512,0,0,
100475,0,0,8.91E-10,0,0,
100771,0,0,0,0,0,
100838,0,0,0.409452679,0,0,
100431,0,0,0.124726073,4.22E-15,0,
100454,0,0,0.452971184,0.000128389,1.22E-07,
101621,0,0,0.404906296,0,0,
100390,0,0,0.092001791,0,0,
100027,5.59E-08,0,0.362167506,0.000196621,2.72E-06,
100506,0,6.89E-07,0.355330959,0.054190925,0.014470829,
100825,0,0,1.30E-05,0,0,
100468,0,0,0,0,0,
101121,0,0,0,0,0,
100150,0,0,0.000970887,0,0,
101265,0,0,0,0,0,
101253,0,0,0,0,0,
101705,0,0,0,0,0,
101516,0,0,0.365341624,1.39E-05,1.32E-08,
100972,0,0,0.010326047,0,0,
101179,0,0,0.655308455,0,0,
101380,0,0,0,0,0,
100558,0,0,0,0,0,
100959,0,0,0,0,0,
100524,0,0,1.09E-14,0,0,
101393,2.43E-13,0,0.50446854,0.000617011,5.79E-06,
100174,0,0,1.05E-07,0,0,
101557,0,0,0,0,0,
100403,0,0,0.44944716,0,0,
100546,0,0,0,0,0,
